Voltage (V),Frequency (Hz),Height (mm),Height-Diameter Ratio,Mass (kg),Movement
180,114,37.5,1.47,40,1
120,101,90,0.05,40,1
190,100,37.5,1.47,40,1
240,150,90,0.05,50,0
200,146,45,0.18,40,0
130,162,115,0.07,50,0
210,146,90,0.05,60,0
170,150,20,0.16,150,0
180,110,110,0.06,40,1
170,162,37.5,1.47,40,0
170,162,30,0.33,80,0
150,134,110,0.06,50,0
120,99.5,37.5,1.47,50,1
120,150,63.5,0.87,60,0
150,174,45,0.18,40,0
132,112,50,0.13,40,1
120,110,20,0.16,110,0
150,118,63.5,0.87,40,1
110,80,30,0.33,40,1
120,162,30,0.33,90,0
160,162,20,0.16,150,1
160,130,115,0.07,40,1
180,130,115,0.07,100,1
220,146,139,0.4,150,1
250,122,139,0.4,130,0
160,134,139,0.4,60,0
120,107,63.5,0.87,40,1
110,166,177,0.31,150,0
130,118,101,0.54,110,0
150,130,115,0.07,40,1
160,110,115,0.07,50,1
160,103,45,0.18,60,1
160,138,30,0.33,50,0
200,110,115,0.07,50,1
150,97,139,0.4,80,1
200,100,101,0.54,70,1
120,95,139,0.4,80,1
130,100,139,0.4,80,1
170,120,63.5,0.87,40,1
140,102,85,0.08,40,1
140,106,30,0.33,40,1
230,170,37.5,1.47,40,0
150,114,30,0.33,50,1
210,108,85,0.08,40,1
180,112,37.5,1.47,60,1
160,170,50,0.13,50,0
150,106,139,0.4,80,1
250,130,45,0.18,40,1
250,120,90,0.05,40,1
230,127,50,0.13,40,1
120,105,50,0.13,60,1
250,126,37.5,1.47,60,1
210,122,63.5,0.87,50,1
240,110,63.5,0.87,60,1
130,162,20,0.16,40,0
250,118,90,0.05,40,1
240,118,50,0.13,40,1
170,170,85,0.08,50,0
140,126,50,0.13,40,0
150,170,90,0.05,50,0
190,114,50,0.13,70,1
130,162,30,0.33,90,0
170,138,37.5,1.47,60,1
140,158,20,0.16,60,0
110,146,50,0.13,40,0
200,134,30,0.33,100,0
220,109,85,0.08,70,1
190,116,63.5,0.87,40,1
230,120,50,0.13,70,1
150,126,115,0.07,50,0
190,96,115,0.07,60,1
230,114,85,0.08,70,1
140,130,45,0.18,50,0
130,110,37.5,1.47,40,1
200,130,101,0.54,90,0
190,114,63.5,0.87,80,1
240,114,37.5,1.47,50,1
160,134,110,0.06,60,0
180,110,110,0.06,60,1
150,105,50,0.13,70,1
110,110,50,0.13,70,0
160,146,85,0.08,70,0
200,119,63.5,0.87,50,1
250,158,20,0.16,120,1
230,110,90,0.05,40,1
160,114,50,0.13,80,1
130,114,63.5,0.87,90,0
170,158,85,0.08,70,0
190,174,45,0.18,40,0
150,105,50,0.13,90,1
140,146,45,0.18,70,0
220,158,85,0.08,40,1
120,138,101,0.54,100,0
220,134,37.5,1.47,50,0
130,118,90,0.05,70,0
120,100,50,0.13,110,1
120,130,85,0.08,40,0
